target_hhi,measured_target_hhi,sim,initial_hhi,initial_one_minus_hhi,initial_gini,initial_max_share,final_hhi,final_one_minus_hhi,final_gini,final_max_share,rounds,frozen,active_density,cluster_count,largest_cluster_fraction,interface_length,max_wealth
0.09,0.08295096531200002,6,0.08295096531200002,0.917049034688,0.2941338672,0.287924,0.08313957478399998,0.916860425216,0.7565277911999999,0.288108,1000,False,0.476,1579,0.007563025210084034,12194,72027
0.09,0.08295096531200002,7,0.08295096531200002,0.917049034688,0.2941338672,0.287924,0.08298923907199998,0.917010760928,0.7555716656,0.287848,1000,False,0.4758,1615,0.00819672131147541,12299,71962
0.09,0.08295096531200002,8,0.08295096531200002,0.917049034688,0.2941338672,0.287924,0.083020103712,0.916979896288,0.7532824264,0.287904,1000,False,0.478,1533,0.008158995815899581,12138,71976
0.09,0.08295096531200002,9,0.08295096531200002,0.917049034688,0.2941338672,0.287924,0.08317240019199998,0.916827599808,0.753846668,0.288168,1000,False,0.4793,1545,0.007510953473815982,12204,72042
0.13,0.11981693632000003,0,0.11981693632000003,0.88018306368,0.3550765920000001,0.346084,0.12004166828799999,0.879958331712,0.7874349192000001,0.3463,1000,False,0.4475,1849,0.00782122905027933,12280,86575
0.13,0.11981693632000003,1,0.11981693632000003,0.88018306368,0.3550765920000001,0.346084,0.11994372259200002,0.880056277408,0.7854690879999999,0.34616,1000,False,0.4516,1709,0.010850310008857396,12069,86540
0.13,0.11981693632000003,2,0.11981693632000003,0.88018306368,0.3550765920000001,0.346084,0.12001666339200001,0.879983336608,0.7869765496000001,0.346264,1000,False,0.4494,1759,0.006230529595015576,12118,86566
0.13,0.11981693632000003,3,0.11981693632000003,0.88018306368,0.3550765920000001,0.346084,0.119915829632,0.880084170368,0.7897597728000001,0.346116,1000,False,0.4452,1793,0.008086253369272238,12122,86529
0.13,0.11981693632000003,4,0.11981693632000003,0.88018306368,0.3550765920000001,0.346084,0.119942276192,0.880057723808,0.7877771440000001,0.346156,1000,False,0.4485,1805,0.009141583054626532,12203,86539
0.13,0.11981693632000003,5,0.11981693632000003,0.88018306368,0.3550765920000001,0.346084,0.119837785952,0.880162214048,0.7885318448,0.346004,1000,False,0.4494,1769,0.005785491766800178,12154,86501
0.13,0.11981693632000003,6,0.11981693632000003,0.88018306368,0.3550765920000001,0.346084,0.11982847961600002,0.8801715203839999,0.7869737536000001,0.345992,1000,False,0.4511,1769,0.005320328086898692,12186,86498
0.13,0.11981693632000003,7,0.11981693632000003,0.88018306368,0.3550765920000001,0.346084,0.11994195644800003,0.880058043552,0.7870528487999999,0.346156,1000,False,0.4506,1740,0.01087438970261873,12134,86539
0.13,0.11981693632000003,8,0.11981693632000003,0.88018306368,0.3550765920000001,0.346084,0.11997823312000001,0.88002176688,0.787404124,0.346208,1000,False,0.4487,1828,0.008023178069979943,12269,86552
0.13,0.11981693632000003,9,0.11981693632000003,0.88018306368,0.3550765920000001,0.346084,0.11981768636800003,0.880182313632,0.7871961303999999,0.345976,1000,False,0.4497,1793,0.00644874360684901,12201,86494
0.17,0.15668150128000013,0,0.15668150128000013,0.8433184987199999,0.3995024680000001,0.395784,0.15672527302400002,0.8432747269759999,0.8121286256,0.395752,1000,False,0.4273,1990,0.007488883688275216,12251,98938
0.17,0.15668150128000005,1,0.15668150128000005,0.84331849872,0.3995024680000001,0.395784,0.15680895696,0.84319104304,0.8149459064,0.395856,1000,False,0.4214,1942,0.004034171808258187,12061,98964
0.17,0.15668150128000008,2,0.15668150128000008,0.84331849872,0.3995024680000001,0.395784,0.156648089472,0.843351910528,0.8152909392000001,0.395652,1000,False,0.4208,1971,0.003564638783269962,12109,98913
0.17,0.1566815012800001,3,0.1566815012800001,0.8433184987199999,0.3995024680000001,0.395784,0.15686875424,0.84313124576,0.8139471495999999,0.395932,1000,False,0.4234,1959,0.0051960321209258385,12105,98983
0.17,0.15668150128000013,4,0.15668150128000013,0.8433184987199999,0.3995024680000001,0.395784,0.156701795776,0.843298204224,0.8149751528,0.39572,1000,False,0.4207,1973,0.004991680532445923,12111,98930
